Date : 2024-09-09 11:19:59
Directory : c:\laragon\www\archivage-app
Total : 136 files,  26029 codes, 1419 comments, 826 blanks, all 28274 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| public\assets\bootstrap                                                                  |          2 |          3 |          9 |          2 |         14 |
| public\assets\bootstrap\css                                                              |          1 |          2 |          4 |          1 |          7 |
| public\assets\bootstrap\js                                                               |          1 |          1 |          5 |          1 |          7 |
| public\assets\fonts                                                                      |          4 |      9,027 |         16 |          3 |      9,046 |
| public\assets\js                                                                         |          1 |         54 |          5 |         18 |         77 |
| resources                                                                                |         43 |      4,835 |        124 |        121 |      5,080 |
| resources\css                                                                            |          1 |          0 |          0 |          1 |          1 |
| resources\js                                                                             |         41 |      4,807 |        124 |        119 |      5,050 |
| resources\js (Files)                                                                     |          2 |         15 |         23 |          8 |         46 |
| resources\js\Pages                                                                       |         39 |      4,792 |        101 |        111 |      5,004 |
| resources\js\Pages (Files)                                                               |         11 |      2,312 |          7 |         39 |      2,358 |
| resources\js\Pages\Auth                                                                  |          3 |        259 |         79 |         16 |        354 |
| resources\js\Pages\Components                                                            |         25 |      2,221 |         15 |         56 |      2,292 |
| resources\views                                                                          |          1 |         28 |          0 |          1 |         29 |
| routes                                                                                   |          4 |         68 |         44 |         22 |        134 |
| tests                                                                                    |          4 |         41 |         10 |         19 |         70 |
| tests (Files)                                                                            |          2 |         20 |          3 |         10 |         33 |
| tests\Feature                                                                            |          1 |         11 |          4 |          5 |         20 |
| tests\Unit                                                                               |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                   |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                            |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                   |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                         |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                |          2 |          7 |          2 |          1 |         10 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\laragon\www\archivage-app\README.md                                                   | Markdown   |         45 |          0 |         22 |         67 |
| c:\laragon\www\archivage-app\app\Actions\Fortify\CreateNewUser.php                       | PHP        |         30 |          5 |          6 |         41 |
| c:\laragon\www\archivage-app\app\Actions\Fortify\PasswordValidationRules.php             | PHP        |         10 |          5 |          4 |         19 |
| c:\laragon\www\archivage-app\app\Actions\Fortify\ResetUserPassword.php                   | PHP        |         19 |          5 |          6 |         30 |
| c:\laragon\www\archivage-app\app\Actions\Fortify\UpdateUserPassword.php                  | PHP        |         22 |          5 |          6 |         33 |
| c:\laragon\www\archivage-app\app\Actions\Fortify\UpdateUserProfileInformation.php        | PHP        |         41 |         10 |          8 |         59 |
| c:\laragon\www\archivage-app\app\Console\Kernel.php                                      | PHP        |         15 |          7 |          6 |         28 |
| c:\laragon\www\archivage-app\app\Exceptions\Handler.php                                  | PHP        |         17 |          9 |          5 |         31 |
| c:\laragon\www\archivage-app\app\Http\Controllers\AddAgents.php                          | PHP        |         14 |          0 |          4 |         18 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Agents.php                             | PHP        |        130 |          0 |         19 |        149 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Apropos.php                            | PHP        |         14 |          0 |          4 |         18 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Archivage.php                          | PHP        |         14 |          0 |          4 |         18 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Classeurs.php                          | PHP        |        121 |         20 |         17 |        158 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Controller.php                         | PHP        |          9 |          0 |          4 |         13 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Dashboard.php                          | PHP        |         15 |          0 |          4 |         19 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Documents.php                          | PHP        |        163 |          1 |         18 |        182 |
| c:\laragon\www\archivage-app\app\Http\Controllers\ForgotPassword.php                     | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Login.php                              | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Profile.php                            | PHP        |         14 |          0 |          4 |         18 |
| c:\laragon\www\archivage-app\app\Http\Controllers\ResetPassword.php                      | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Service.php                            | PHP        |          6 |          1 |          4 |         11 |
| c:\laragon\www\archivage-app\app\Http\Controllers\Services.php                           | PHP        |         56 |          1 |         11 |         68 |
| c:\laragon\www\archivage-app\app\Http\Controllers\ServicesMore.php                       | PHP        |         84 |          2 |         12 |         98 |
| c:\laragon\www\archivage-app\app\Http\Kernel.php                                         | PHP        |         42 |         21 |          7 |         70 |
| c:\laragon\www\archivage-app\app\Http\Middleware\Authenticate.php                        | PHP        |         11 |          3 |          4 |         18 |
| c:\laragon\www\archivage-app\app\Http\Middleware\EncryptCookies.php                      | PHP        |          8 |          6 |          4 |         18 |
| c:\laragon\www\archivage-app\app\Http\Middleware\EnsureUserHasRole.php                   | PHP        |         13 |          5 |          5 |         23 |
| c:\laragon\www\archivage-app\app\Http\Middleware\PreventRequestsDuringMaintenance.php    | PHP        |          8 |          6 |          4 |         18 |
| c:\laragon\www\archivage-app\app\Http\Middleware\RedirectIfAuthenticated.php             | PHP        |         20 |          5 |          6 |         31 |
| c:\laragon\www\archivage-app\app\Http\Middleware\TrimStrings.php                         | PHP        |         11 |          5 |          4 |         20 |
| c:\laragon\www\archivage-app\app\Http\Middleware\TrustHosts.php                          | PHP        |         12 |          5 |          4 |         21 |
| c:\laragon\www\archivage-app\app\Http\Middleware\TrustProxies.php                        | PHP        |         14 |         10 |          5 |         29 |
| c:\laragon\www\archivage-app\app\Http\Middleware\ValidateSignature.php                   | PHP        |          8 |         11 |          4 |         23 |
| c:\laragon\www\archivage-app\app\Http\Middleware\VerifyCsrfToken.php                     | PHP        |          8 |          6 |          4 |         18 |
| c:\laragon\www\archivage-app\app\Http\Requests\DocumentRequest.php                       | PHP        |         18 |          8 |          5 |         31 |
| c:\laragon\www\archivage-app\app\Http\Requests\UpdateClasseur.php                        | PHP        |         17 |          8 |          5 |         30 |
| c:\laragon\www\archivage-app\app\Http\Requests\UpdateServiceRequest.php                  | PHP        |         17 |          8 |          5 |         30 |
| c:\laragon\www\archivage-app\app\Http\Requests\UserRequest.php                           | PHP        |         21 |          8 |          5 |         34 |
| c:\laragon\www\archivage-app\app\Http\Requests\createService.php                         | PHP        |         16 |          8 |          5 |         29 |
| c:\laragon\www\archivage-app\app\Http\Requests\serviceRequest.php                        | PHP        |         17 |          8 |          5 |         30 |
| c:\laragon\www\archivage-app\app\Models\Classeur.php                                     | PHP        |          9 |          0 |          6 |         15 |
| c:\laragon\www\archivage-app\app\Models\Document.php                                     | PHP        |          9 |          0 |          6 |         15 |
| c:\laragon\www\archivage-app\app\Models\Service.php                                      | PHP        |          9 |          0 |          4 |         13 |
| c:\laragon\www\archivage-app\app\Models\Services_user.php                                | PHP        |         12 |          0 |          5 |         17 |
| c:\laragon\www\archivage-app\app\Models\User.php                                         | PHP        |         28 |         16 |          7 |         51 |
| c:\laragon\www\archivage-app\app\Providers\AppServiceProvider.php                        | PHP        |         12 |          8 |          5 |         25 |
| c:\laragon\www\archivage-app\app\Providers\AuthServiceProvider.php                       | PHP        |         11 |         11 |          5 |         27 |
| c:\laragon\www\archivage-app\app\Providers\BroadcastServiceProvider.php                  | PHP        |         12 |          3 |          5 |         20 |
| c:\laragon\www\archivage-app\app\Providers\EventServiceProvider.php                      | PHP        |         21 |         12 |          6 |         39 |
| c:\laragon\www\archivage-app\app\Providers\FortifyServiceProvider.php                    | PHP        |         48 |          6 |         12 |         66 |
| c:\laragon\www\archivage-app\app\Providers\RouteServiceProvider.php                      | PHP        |         24 |         10 |          7 |         41 |
| c:\laragon\www\archivage-app\bootstrap\app.php                                           | PHP        |         18 |         35 |         11 |         64 |
| c:\laragon\www\archivage-app\composer.json                                               | JSON       |         68 |          0 |          1 |         69 |
| c:\laragon\www\archivage-app\composer.lock                                               | JSON       |      8,567 |          0 |          1 |      8,568 |
| c:\laragon\www\archivage-app\config\app.php                                              | PHP        |         27 |        131 |         31 |        189 |
| c:\laragon\www\archivage-app\config\auth.php                                             | PHP        |         28 |         74 |         14 |        116 |
| c:\laragon\www\archivage-app\config\broadcasting.php                                     | PHP        |         36 |         23 |         13 |         72 |
| c:\laragon\www\archivage-app\config\cache.php                                            | PHP        |         59 |         34 |         19 |        112 |
| c:\laragon\www\archivage-app\config\cors.php                                             | PHP        |         11 |         12 |         12 |         35 |
| c:\laragon\www\archivage-app\config\database.php                                         | PHP        |         83 |         47 |         22 |        152 |
| c:\laragon\www\archivage-app\config\filesystems.php                                      | PHP        |         32 |         32 |         13 |         77 |
| c:\laragon\www\archivage-app\config\fortify.php                                          | PHP        |         29 |        105 |         26 |        160 |
| c:\laragon\www\archivage-app\config\hashing.php                                          | PHP        |         14 |         32 |          9 |         55 |
| c:\laragon\www\archivage-app\config\logging.php                                          | PHP        |         79 |         34 |         19 |        132 |
| c:\laragon\www\archivage-app\config\mail.php                                             | PHP        |         61 |         54 |         20 |        135 |
| c:\laragon\www\archivage-app\config\queue.php                                            | PHP        |         51 |         42 |         17 |        110 |
| c:\laragon\www\archivage-app\config\sanctum.php                                          | PHP        |         17 |         53 |         14 |         84 |
| c:\laragon\www\archivage-app\config\services.php                                         | PHP        |         17 |         11 |          7 |         35 |
| c:\laragon\www\archivage-app\config\session.php                                          | PHP        |         23 |        157 |         35 |        215 |
| c:\laragon\www\archivage-app\config\view.php                                             | PHP        |         10 |         20 |          7 |         37 |
| c:\laragon\www\archivage-app\package-lock.json                                           | JSON       |      1,354 |          0 |          1 |      1,355 |
| c:\laragon\www\archivage-app\package.json                                                | JSON       |         17 |          0 |          1 |         18 |
| c:\laragon\www\archivage-app\phpunit.xml                                                 | XML        |         30 |          2 |          1 |         33 |
| c:\laragon\www\archivage-app\public\assets\bootstrap\css\bootstrap.min.css               | CSS        |          2 |          4 |          1 |          7 |
| c:\laragon\www\archivage-app\public\assets\bootstrap\js\bootstrap.min.js                 | JavaScript |          1 |          5 |          1 |          7 |
| c:\laragon\www\archivage-app\public\assets\fonts\fa-brands-400.svg                       | XML        |      3,531 |          4 |          1 |      3,536 |
| c:\laragon\www\archivage-app\public\assets\fonts\fa-regular-400.svg                      | XML        |        799 |          4 |          1 |        804 |
| c:\laragon\www\archivage-app\public\assets\fonts\fa-solid-900.svg                        | XML        |      4,696 |          4 |          1 |      4,701 |
| c:\laragon\www\archivage-app\public\assets\fonts\fontawesome-all.min.css                 | CSS        |          1 |          4 |          0 |          5 |
| c:\laragon\www\archivage-app\public\assets\js\theme.js                                   | JavaScript |         54 |          5 |         18 |         77 |
| c:\laragon\www\archivage-app\public\bootstrap.min.css                                    | CSS        |          2 |          4 |          1 |          7 |
| c:\laragon\www\archivage-app\public\index.php                                            | PHP        |         14 |         30 |         12 |         56 |
| c:\laragon\www\archivage-app\resources\css\app.css                                       | CSS        |          0 |          0 |          1 |          1 |
| c:\laragon\www\archivage-app\resources\js\Pages\AddAgents.vue                            | Vue        |        232 |          0 |          6 |        238 |
| c:\laragon\www\archivage-app\resources\js\Pages\Agents.vue                               | Vue        |        253 |          1 |          4 |        258 |
| c:\laragon\www\archivage-app\resources\js\Pages\Apropos.vue                              | Vue        |         59 |          0 |          2 |         61 |
| c:\laragon\www\archivage-app\resources\js\Pages\Archivage.vue                            | Vue        |        206 |          4 |          2 |        212 |
| c:\laragon\www\archivage-app\resources\js\Pages\Auth\ForgotPassword.vue                  | Vue        |         59 |         33 |          5 |         97 |
| c:\laragon\www\archivage-app\resources\js\Pages\Auth\Login.vue                           | Vue        |        130 |          8 |          4 |        142 |
| c:\laragon\www\archivage-app\resources\js\Pages\Auth\ResetPassword.vue                   | Vue        |         70 |         38 |          7 |        115 |
| c:\laragon\www\archivage-app\resources\js\Pages\Blank.vue                                | Vue        |         51 |          1 |          5 |         57 |
| c:\laragon\www\archivage-app\resources\js\Pages\Classeur.vue                             | Vue        |        202 |          0 |          3 |        205 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\add-members.vue               | Vue        |        124 |          0 |          3 |        127 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\add-service-modal.vue         | Vue        |         94 |          0 |          3 |         97 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\bread-crumbs.vue              | Vue        |         42 |          0 |          2 |         44 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\classeur-component.vue        | Vue        |        137 |          0 |          3 |        140 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\delete-modal.vue              | Vue        |         15 |          0 |          0 |         15 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\delete-multiple-modal.vue     | Vue        |         15 |          0 |          0 |         15 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\delete-service-modal.vue      | Vue        |         64 |          0 |          2 |         66 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\document-component.vue        | Vue        |        126 |          2 |          3 |        131 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\footer.vue                    | Vue        |          9 |          0 |          0 |          9 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\my-buttons.vue                | Vue        |         80 |          2 |          4 |         86 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\nav-bar-top.vue               | Vue        |         91 |          0 |          3 |         94 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\nav-bar.vue                   | Vue        |        141 |          7 |          2 |        150 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\pagination.vue                | Vue        |         39 |          0 |          3 |         42 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\properties-modal-classeur.vue | Vue        |        102 |          0 |          3 |        105 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\properties-modal.vue          | Vue        |        125 |          0 |          3 |        128 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\remove-members.vue            | Vue        |        122 |          0 |          3 |        125 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\reset-modal.vue               | Vue        |         17 |          0 |          2 |         19 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\search-bar-agents.vue         | Vue        |         78 |          1 |          2 |         81 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\search-bar.vue                | Vue        |         89 |          1 |          2 |         92 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\service-modal.vue             | Vue        |         17 |          0 |          0 |         17 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\share-modal.vue               | Vue        |        304 |          1 |          3 |        308 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\top-page.vue                  | Vue        |          6 |          1 |          0 |          7 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\update-documents-classeur.vue | Vue        |        120 |          0 |          4 |        124 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\update-documents.vue          | Vue        |        143 |          0 |          3 |        146 |
| c:\laragon\www\archivage-app\resources\js\Pages\Components\update-service-modal.vue      | Vue        |        121 |          0 |          3 |        124 |
| c:\laragon\www\archivage-app\resources\js\Pages\Dashboard.vue                            | Vue        |        292 |          0 |          3 |        295 |
| c:\laragon\www\archivage-app\resources\js\Pages\Documents.vue                            | Vue        |        188 |          0 |          3 |        191 |
| c:\laragon\www\archivage-app\resources\js\Pages\Profile.vue                              | Vue        |        375 |          0 |          3 |        378 |
| c:\laragon\www\archivage-app\resources\js\Pages\Services.vue                             | Vue        |        248 |          1 |          3 |        252 |
| c:\laragon\www\archivage-app\resources\js\Pages\ServicesMore.vue                         | Vue        |        206 |          0 |          5 |        211 |
| c:\laragon\www\archivage-app\resources\js\app.js                                         | JavaScript |         12 |          0 |          1 |         13 |
| c:\laragon\www\archivage-app\resources\js\bootstrap.js                                   | JavaScript |          3 |         23 |          7 |         33 |
| c:\laragon\www\archivage-app\resources\views\app.blade.php                               | PHP        |         28 |          0 |          1 |         29 |
| c:\laragon\www\archivage-app\routes\api.php                                              | PHP        |          6 |         10 |          4 |         20 |
| c:\laragon\www\archivage-app\routes\channels.php                                         | PHP        |          5 |         10 |          4 |         19 |
| c:\laragon\www\archivage-app\routes\console.php                                          | PHP        |          6 |         10 |          4 |         20 |
| c:\laragon\www\archivage-app\routes\web.php                                              | PHP        |         51 |         14 |         10 |         75 |
| c:\laragon\www\archivage-app\tests\CreatesApplication.php                                | PHP        |         13 |          3 |          6 |         22 |
| c:\laragon\www\archivage-app\tests\Feature\ExampleTest.php                               | PHP        |         11 |          4 |          5 |         20 |
| c:\laragon\www\archivage-app\tests\TestCase.php                                          | PHP        |          7 |          0 |          4 |         11 |
| c:\laragon\www\archivage-app\tests\Unit\ExampleTest.php                                  | PHP        |         10 |          3 |          4 |         17 |
| c:\laragon\www\archivage-app\vendor\spatie\ignition\resources\compiled\ignition.css      | CSS        |          1 |          2 |          0 |          3 |
| c:\laragon\www\archivage-app\vendor\spatie\ignition\resources\compiled\ignition.js       | JavaScript |          6 |          0 |          1 |          7 |
| c:\laragon\www\archivage-app\vite.config.js                                              | JavaScript |         19 |          9 |          4 |         32 |
| Total                                                                                    |            |     26,029 |      1,419 |        826 |     28,274 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
